State,Specialties,Experience,Price
Tennessee,"Wedding, Elopement, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Average
Florida,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Average
"Wisconsin, Washington","Wedding, Elopement, Family/Children, Branding/Headshots, Animals",1+ years 4+ years 9+ years in business,Investment: Average
"Connecticut, Rhode Island","Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Average
Minnesota,"Wedding, High School Seniors, Family/Children, Family/Children, Other Portraits",1+ years 4+ years in business,Investment: Moderate
Arkansas,Boudoir,1+ years 4+ years in business,Investment: Luxury
"Rhode Island, Massachusetts","Wedding, Elopement",1+ years 4+ years in business,Investment: Premium
Idaho,"Wedding, Elopement",1+ years 4+ years 9+ years in business,Investment: Average
"Missouri, Nevada, New York, Colorado","Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Luxury
Georgia,"Wedding, High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Nevada,Boudoir,1+ years 4+ years in business,Investment: Premium
"Oregon, Washington","Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Average
Washington,"Newborn, Maternity",1+ years 4+ years in business,Investment: Luxury
"Oregon, Washington","Wedding, Elopement, High School Seniors, Family/Children, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Moderate
Massachusetts,"High School Seniors, Family/Children, Newborn",1+ years 4+ years 9+ years in business,Investment: Premium
Indiana,"Wedding, High School Seniors, Family/Children, Branding/Headshots, Boudoir",1+ years 4+ years in business,Investment: Moderate
California,"Wedding, Elopement, High School Seniors, Family/Children, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Moderate
Georgia,"Wedding, Elopement, Family/Children, Branding/Headshots, Boudoir","1+ years, 4+ years in business",Investment: Moderate
"South Carolina, Virginia.","Elopement, High School Seniors, Family/Children, Maternity, Branding/Headshots",1+ years 4+ years in business,Investment: Moderate
Georgia,"Family/Children, Newborn, Maternity",1+ years in business,Investment: Moderate
Nebraska,"High School Seniors, Family/Children",1+ years 4+ years in business,Investment: Moderate
Texas,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Oklahoma,"Wedding, High School Seniors, Family/Children, Branding/Headshots, Quinceañeras",1+ years 4+ years 9+ years in business,Investment: Average
North Carolina,"Wedding, High School Seniors, Family/Children, Branding/Headshots, Other Portraits",1+ years 4+ years in business,Investment: Moderate
"Nevada, California, Washington","Wedding, Elopement, High School Seniors",1+ years 4+ years 9+ years in business,Investment: Average
Colorado,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Average
Pennsylvania,"High School Seniors, Family/Children, Maternity, Branding/Headshots, Boudoir",1+ years 4+ years 9+ years in business,Investment: Luxury
Massachusetts,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
"Maryland, Virginia., Colorado, Florida","Wedding, Elopement",1+ years 4+ years in business,Investment: Moderate
Colorado,Wedding,1+ years 4+ years in business,Investment: Average
"Illinois, Indiana, Michigan, Florida","Family/Children, Newborn, Maternity, Branding/Headshots, Boudoir",1+ years 4+ years 9+ years in business,Investment: Premium
New York,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Premium
Colorado,"Wedding, High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Average
Alabama,"Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Average
Missouri,"Family/Children, Newborn, Maternity",1+ years in business,Investment: Moderate
"Oregon, Washington","Wedding, Elopement, High School Seniors, Maternity, Branding/Headshots",1+ years in business,Investment: Moderate
North Carolina,Animals,1+ years 4+ years in business,Investment: Premium
Missouri,"High School Seniors, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Luxury
"Massachusetts, Rhode Island, New Hampshire","Family/Children, Newborn",1+ years 4+ years in business,Investment: Luxury
Ohio,"Family/Children, Newborn",1+ years 4+ years 9+ years in business,Investment: Moderate
Pennsylvania,"Wedding, Family/Children, Newborn, Branding/Headshots, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Average
California,"Wedding, Elopement, Animals, Boudoir, Other Portraits",1+ years in business,Investment: Moderate
Florida,"Family/Children, Newborn",1+ years 4+ years 9+ years in business,Investment: Average
